time,valueA,IndA,valueB,IndB,valueC,IndC
jan-20,152008,-0.37%,1593,4.39%,4588,1.21%
feb-20,152575,1.63%,1526,-44.45%,4533,-22.33%
mar-20,150123,16.66%,2747,-84.27%,5836,-37.62%
apr-20,128688,3.81%,17467,255.60%,9356,109.31%
may-20,123963,-4.52%,4912,30.33%,4470,24.20%
jun-20,129832,-3.46%,3769,12.41%,3599,-12.07%
jul-20,134480,-2.41%,3353,75.37%,4093,1.54%
aug-20,137808,-1.69%,1912,-22.37%,4031,-12.41%
sep-20,140176,-0.82%,2463,21.63%,4602,10.70%
oct-20,141335,-1.07%,2025,-0.78%,4157,-12.17%
nov-20,142869,-0.01%,2041,-9.93%,4733,2.09%
dec-20,142881,-0.22%,2266,13.81%,4636,6.77%
jan-21,143194,-0.23%,1991,2.47%,4342,-4.13%
feb-21,143524,0.23%,1943,-2.41%,4529,4.31%
Mar-21,144121,0.42%,1804,-7.15%,4288,-5.32%